Size,Average time,Standard deviation
1024,0.0003705502,1.806665E-005
4096,0.001084089,5.289455E-005
16384,0.00288744,0.0004115585
65536,0.009555793,0.000531855
262144,0.03633275,0.0005025303
1048576,0.1432897,0.0004689201
,,
Size,Average time,Standard deviation
1024,0.0003810644,1.666273E-005
4096,0.001007915,0.000078357
16384,0.002892756,0.0003902721
65536,0.009567404,0.0005111333
262144,0.0363502,0.0004638586
1048576,0.14331,0.0004664663
,,
Size,Average time,Standard deviation
1024,0.0008388281,0.0001946325
4096,0.002279544,0.0002644261
16384,0.006439471,0.0008186314
65536,0.0200155,0.000996767
262144,0.07276092,0.001284534
1048576,0.2866852,0.001258708
